article_order,article_id,article_title,category,asset_id,type,placement,filename,alt_text,aspect_ratio,prompt,required
29,C08,Cat Haircut vs Trim vs Shave: What Is Appropriate for Different Coat Conditions?,Cat Grooming,C08-V2,in_article_visual,"Near the middle decision, schedule or comparison section",cat-haircut-vs-trim-vs-shave-visual-2.webp,Non-graphic coat-condition decision tree for cat grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Cat Haircut vs Trim vs Shave: What Is Appropriate for Different Coat Conditions?”: Non-graphic coat-condition decision tree.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
30,C12,Senior Cat Grooming: Planning a Comfortable Session for Older Cats,Cat Grooming,C12-FEATURED,featured_image,CMS featured image; do not insert again inside article body,senior-cat-grooming-featured.webp,Cat during a calm professional mobile grooming assessment in Dubai.,16:9,"Create a premium, photorealistic editorial featured image for the article “Senior Cat Grooming: Planning a Comfortable Session for Older Cats”. Subject: cat. Setting: a clean modern Dubai home or professional mobile grooming environment, soft natural light, clean tools, calm atmosphere, realistic anatomy and coat detail. Show gentle welfare-first grooming with calm body language; no tight restraint, no visible injury, no medical procedure and no exaggerated before-and-after result. No embedded text, no logos, no watermarks. Landscape 16:9 with generous safe space for responsive cropping.",True
30,C12,Senior Cat Grooming: Planning a Comfortable Session for Older Cats,Cat Grooming,C12-V1,in_article_visual,Immediately after the first major H2 section,senior-cat-grooming-visual-1.webp,Senior-cat appointment adaptation checklist for cat grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Senior Cat Grooming: Planning a Comfortable Session for Older Cats”: Senior-cat appointment adaptation checklist.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
30,C12,Senior Cat Grooming: Planning a Comfortable Session for Older Cats,Cat Grooming,C12-V2,in_article_visual,"Near the middle decision, schedule or comparison section",senior-cat-grooming-visual-2.webp,Comfort-first essential vs optional care graphic for cat grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Senior Cat Grooming: Planning a Comfortable Session for Older Cats”: Comfort-first essential vs optional care graphic.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
31,C14,British Shorthair Grooming: Managing a Dense Coat and Seasonal Shedding,Cat Grooming,C14-FEATURED,featured_image,CMS featured image; do not insert again inside article body,british-shorthair-grooming-featured.webp,British shorthair cat during a calm professional mobile grooming assessment in Dubai.,16:9,"Create a premium, photorealistic editorial featured image for the article “British Shorthair Grooming: Managing a Dense Coat and Seasonal Shedding”. Subject: British Shorthair cat. Setting: a clean modern Dubai home or professional mobile grooming environment, soft natural light, clean tools, calm atmosphere, realistic anatomy and coat detail. Show gentle welfare-first grooming with calm body language; no tight restraint, no visible injury, no medical procedure and no exaggerated before-and-after result. No embedded text, no logos, no watermarks. Landscape 16:9 with generous safe space for responsive cropping.",True
31,C14,British Shorthair Grooming: Managing a Dense Coat and Seasonal Shedding,Cat Grooming,C14-V1,in_article_visual,Immediately after the first major H2 section,british-shorthair-grooming-visual-1.webp,British Shorthair coat-density illustration for British Shorthair cat grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “British Shorthair Grooming: Managing a Dense Coat and Seasonal Shedding”: British Shorthair coat-density illustration.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
31,C14,British Shorthair Grooming: Managing a Dense Coat and Seasonal Shedding,Cat Grooming,C14-V2,in_article_visual,"Near the middle decision, schedule or comparison section",british-shorthair-grooming-visual-2.webp,Weekly vs shedding-season schedule card for British Shorthair cat grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “British Shorthair Grooming: Managing a Dense Coat and Seasonal Shedding”: Weekly vs shedding-season schedule card.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
32,C15,"Ragdoll Cat Grooming: Brushing, Mat Prevention and Grooming Frequency",Cat Grooming,C15-FEATURED,featured_image,CMS featured image; do not insert again inside article body,ragdoll-cat-grooming-featured.webp,Ragdoll cat during a calm professional mobile grooming assessment in Dubai.,16:9,"Create a premium, photorealistic editorial featured image for the article “Ragdoll Cat Grooming: Brushing, Mat Prevention and Grooming Frequency”. Subject: Ragdoll cat. Setting: a clean modern Dubai home or professional mobile grooming environment, soft natural light, clean tools, calm atmosphere, realistic anatomy and coat detail. Show gentle welfare-first grooming with calm body language; no tight restraint, no visible injury, no medical procedure and no exaggerated before-and-after result. No embedded text, no logos, no watermarks. Landscape 16:9 with generous safe space for responsive cropping.",True
32,C15,"Ragdoll Cat Grooming: Brushing, Mat Prevention and Grooming Frequency",Cat Grooming,C15-V1,in_article_visual,Immediately after the first major H2 section,ragdoll-cat-grooming-visual-1.webp,Ragdoll coat and friction-area diagram for Ragdoll cat grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Ragdoll Cat Grooming: Brushing, Mat Prevention and Grooming Frequency”: Ragdoll coat and friction-area diagram.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
32,C15,"Ragdoll Cat Grooming: Brushing, Mat Prevention and Grooming Frequency",Cat Grooming,C15-V2,in_article_visual,"Near the middle decision, schedule or comparison section",ragdoll-cat-grooming-visual-2.webp,Weekly maintenance card for Ragdoll cat grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Ragdoll Cat Grooming: Brushing, Mat Prevention and Grooming Frequency”: Weekly maintenance card.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
33,C16,"Maine Coon Grooming: Caring for a Large, Long-Haired Cat",Cat Grooming,C16-FEATURED,featured_image,CMS featured image; do not insert again inside article body,maine-coon-grooming-featured.webp,Maine coon cat during a calm professional mobile grooming assessment in Dubai.,16:9,"Create a premium, photorealistic editorial featured image for the article “Maine Coon Grooming: Caring for a Large, Long-Haired Cat”. Subject: Maine Coon cat. Setting: a clean modern Dubai home or professional mobile grooming environment, soft natural light, clean tools, calm atmosphere, realistic anatomy and coat detail. Show gentle welfare-first grooming with calm body language; no tight restraint, no visible injury, no medical procedure and no exaggerated before-and-after result. No embedded text, no logos, no watermarks. Landscape 16:9 with generous safe space for responsive cropping.",True
33,C16,"Maine Coon Grooming: Caring for a Large, Long-Haired Cat",Cat Grooming,C16-V1,in_article_visual,Immediately after the first major H2 section,maine-coon-grooming-visual-1.webp,Maine Coon coat-length map for Maine Coon cat grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Maine Coon Grooming: Caring for a Large, Long-Haired Cat”: Maine Coon coat-length map.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
33,C16,"Maine Coon Grooming: Caring for a Large, Long-Haired Cat",Cat Grooming,C16-V2,in_article_visual,"Near the middle decision, schedule or comparison section",maine-coon-grooming-visual-2.webp,Large-cat appointment planning checklist for Maine Coon cat grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Maine Coon Grooming: Caring for a Large, Long-Haired Cat”: Large-cat appointment planning checklist.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
34,D08,Dog Haircut vs Trim vs Shave: How Groomers Choose the Right Option,Dog Grooming,D08-FEATURED,featured_image,CMS featured image; do not insert again inside article body,dog-haircut-vs-trim-vs-shave-featured.webp,Dog during a calm professional mobile grooming assessment in Dubai.,16:9,"Create a premium, photorealistic editorial featured image for the article “Dog Haircut vs Trim vs Shave: How Groomers Choose the Right Option”. Subject: dog. Setting: a clean modern Dubai home or professional mobile grooming environment, soft natural light, clean tools, calm atmosphere, realistic anatomy and coat detail. Show gentle welfare-first grooming with calm body language; no tight restraint, no visible injury, no medical procedure and no exaggerated before-and-after result. No embedded text, no logos, no watermarks. Landscape 16:9 with generous safe space for responsive cropping.",True
34,D08,Dog Haircut vs Trim vs Shave: How Groomers Choose the Right Option,Dog Grooming,D08-V1,in_article_visual,Immediately after the first major H2 section,dog-haircut-vs-trim-vs-shave-visual-1.webp,Hair coat vs double-coat cutting matrix for dog grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Dog Haircut vs Trim vs Shave: How Groomers Choose the Right Option”: Hair coat vs double-coat cutting matrix.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
34,D08,Dog Haircut vs Trim vs Shave: How Groomers Choose the Right Option,Dog Grooming,D08-V2,in_article_visual,"Near the middle decision, schedule or comparison section",dog-haircut-vs-trim-vs-shave-visual-2.webp,Trim vs haircut vs shave graphic for dog grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Dog Haircut vs Trim vs Shave: How Groomers Choose the Right Option”: Trim vs haircut vs shave graphic.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
35,D12,"Shih Tzu Grooming: Schedule, Coat Care and Popular Haircut Options",Dog Grooming,D12-FEATURED,featured_image,CMS featured image; do not insert again inside article body,shih-tzu-grooming-featured.webp,Shih tzu dog during a calm professional mobile grooming assessment in Dubai.,16:9,"Create a premium, photorealistic editorial featured image for the article “Shih Tzu Grooming: Schedule, Coat Care and Popular Haircut Options”. Subject: Shih Tzu dog. Setting: a clean modern Dubai home or professional mobile grooming environment, soft natural light, clean tools, calm atmosphere, realistic anatomy and coat detail. Show gentle welfare-first grooming with calm body language; no tight restraint, no visible injury, no medical procedure and no exaggerated before-and-after result. No embedded text, no logos, no watermarks. Landscape 16:9 with generous safe space for responsive cropping.",True
35,D12,"Shih Tzu Grooming: Schedule, Coat Care and Popular Haircut Options",Dog Grooming,D12-V1,in_article_visual,Immediately after the first major H2 section,shih-tzu-grooming-visual-1.webp,Long coat vs puppy-trim maintenance table for Shih Tzu dog grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Shih Tzu Grooming: Schedule, Coat Care and Popular Haircut Options”: Long coat vs puppy-trim maintenance table.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
35,D12,"Shih Tzu Grooming: Schedule, Coat Care and Popular Haircut Options",Dog Grooming,D12-V2,in_article_visual,"Near the middle decision, schedule or comparison section",shih-tzu-grooming-visual-2.webp,Shih Tzu face-care diagram for Shih Tzu dog grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Shih Tzu Grooming: Schedule, Coat Care and Popular Haircut Options”: Shih Tzu face-care diagram.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
36,D13,"Pomeranian Grooming: Coat Care, Deshedding and Trimming",Dog Grooming,D13-FEATURED,featured_image,CMS featured image; do not insert again inside article body,pomeranian-grooming-featured.webp,Pomeranian dog during a calm professional mobile grooming assessment in Dubai.,16:9,"Create a premium, photorealistic editorial featured image for the article “Pomeranian Grooming: Coat Care, Deshedding and Trimming”. Subject: Pomeranian dog. Setting: a clean modern Dubai home or professional mobile grooming environment, soft natural light, clean tools, calm atmosphere, realistic anatomy and coat detail. Show gentle welfare-first grooming with calm body language; no tight restraint, no visible injury, no medical procedure and no exaggerated before-and-after result. No embedded text, no logos, no watermarks. Landscape 16:9 with generous safe space for responsive cropping.",True
36,D13,"Pomeranian Grooming: Coat Care, Deshedding and Trimming",Dog Grooming,D13-V1,in_article_visual,Immediately after the first major H2 section,pomeranian-grooming-visual-1.webp,Pomeranian double-coat diagram for Pomeranian dog grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Pomeranian Grooming: Coat Care, Deshedding and Trimming”: Pomeranian double-coat diagram.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
36,D13,"Pomeranian Grooming: Coat Care, Deshedding and Trimming",Dog Grooming,D13-V2,in_article_visual,"Near the middle decision, schedule or comparison section",pomeranian-grooming-visual-2.webp,Routine trim vs close shave graphic for Pomeranian dog grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Pomeranian Grooming: Coat Care, Deshedding and Trimming”: Routine trim vs close shave graphic.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
37,D14,Golden Retriever Grooming: Shedding Control and Coat Maintenance,Dog Grooming,D14-FEATURED,featured_image,CMS featured image; do not insert again inside article body,golden-retriever-grooming-featured.webp,Golden retriever during a calm professional mobile grooming assessment in Dubai.,16:9,"Create a premium, photorealistic editorial featured image for the article “Golden Retriever Grooming: Shedding Control and Coat Maintenance”. Subject: Golden Retriever. Setting: a clean modern Dubai home or professional mobile grooming environment, soft natural light, clean tools, calm atmosphere, realistic anatomy and coat detail. Show gentle welfare-first grooming with calm body language; no tight restraint, no visible injury, no medical procedure and no exaggerated before-and-after result. No embedded text, no logos, no watermarks. Landscape 16:9 with generous safe space for responsive cropping.",True
37,D14,Golden Retriever Grooming: Shedding Control and Coat Maintenance,Dog Grooming,D14-V1,in_article_visual,Immediately after the first major H2 section,golden-retriever-grooming-visual-1.webp,Golden coat and feathering map for Golden Retriever grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Golden Retriever Grooming: Shedding Control and Coat Maintenance”: Golden coat and feathering map.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
37,D14,Golden Retriever Grooming: Shedding Control and Coat Maintenance,Dog Grooming,D14-V2,in_article_visual,"Near the middle decision, schedule or comparison section",golden-retriever-grooming-visual-2.webp,Normal vs heavy-shedding schedule for Golden Retriever grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Golden Retriever Grooming: Shedding Control and Coat Maintenance”: Normal vs heavy-shedding schedule.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
38,D15,"Poodle Grooming: Coat Maintenance, Appointment Frequency and Style Choices",Dog Grooming,D15-FEATURED,featured_image,CMS featured image; do not insert again inside article body,poodle-grooming-featured.webp,Poodle during a calm professional mobile grooming assessment in Dubai.,16:9,"Create a premium, photorealistic editorial featured image for the article “Poodle Grooming: Coat Maintenance, Appointment Frequency and Style Choices”. Subject: Poodle. Setting: a clean modern Dubai home or professional mobile grooming environment, soft natural light, clean tools, calm atmosphere, realistic anatomy and coat detail. Show gentle welfare-first grooming with calm body language; no tight restraint, no visible injury, no medical procedure and no exaggerated before-and-after result. No embedded text, no logos, no watermarks. Landscape 16:9 with generous safe space for responsive cropping.",True
38,D15,"Poodle Grooming: Coat Maintenance, Appointment Frequency and Style Choices",Dog Grooming,D15-V1,in_article_visual,Immediately after the first major H2 section,poodle-grooming-visual-1.webp,Poodle coat-growth and matting diagram for Poodle grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Poodle Grooming: Coat Maintenance, Appointment Frequency and Style Choices”: Poodle coat-growth and matting diagram.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
38,D15,"Poodle Grooming: Coat Maintenance, Appointment Frequency and Style Choices",Dog Grooming,D15-V2,in_article_visual,"Near the middle decision, schedule or comparison section",poodle-grooming-visual-2.webp,Short pet trim vs longer style maintenance table for Poodle grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Poodle Grooming: Coat Maintenance, Appointment Frequency and Style Choices”: Short pet trim vs longer style maintenance table.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
39,B02,How Often Do Pet Birds Need Professional Grooming?,Bird Grooming,B02-FEATURED,featured_image,CMS featured image; do not insert again inside article body,how-often-birds-need-grooming-featured.webp,Pet bird during a calm professional mobile grooming assessment in Dubai.,16:9,"Create a premium, photorealistic editorial featured image for the article “How Often Do Pet Birds Need Professional Grooming?”. Subject: pet bird. Setting: a clean modern Dubai home or professional mobile grooming environment, soft natural light, clean tools, calm atmosphere, realistic anatomy and coat detail. Show the bird calmly standing on a secure perch with an experienced avian professional nearby; no forceful restraint, no cutting action, no aerosol, no fragrance and no medical procedure. No embedded text, no logos, no watermarks. Landscape 16:9 with generous safe space for responsive cropping.",True
39,B02,How Often Do Pet Birds Need Professional Grooming?,Bird Grooming,B02-V1,in_article_visual,Immediately after the first major H2 section,how-often-birds-need-grooming-visual-1.webp,Bird grooming component calendar with 'condition-based' labels for pet bird grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “How Often Do Pet Birds Need Professional Grooming?”: Bird grooming component calendar with 'condition-based' labels.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict forceful restraint, cutting action, respiratory hazards or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
39,B02,How Often Do Pet Birds Need Professional Grooming?,Bird Grooming,B02-V2,in_article_visual,"Near the middle decision, schedule or comparison section",how-often-birds-need-grooming-visual-2.webp,Need assessment checklist for pet bird grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “How Often Do Pet Birds Need Professional Grooming?”: Need assessment checklist.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict forceful restraint, cutting action, respiratory hazards or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
40,B04,"Bird Beak Care: Normal Growth, Warning Signs and Who Should Handle It",Bird Grooming,B04-FEATURED,featured_image,CMS featured image; do not insert again inside article body,bird-beak-care-featured.webp,Pet bird during a calm professional mobile grooming assessment in Dubai.,16:9,"Create a premium, photorealistic editorial featured image for the article “Bird Beak Care: Normal Growth, Warning Signs and Who Should Handle It”. Subject: pet bird. Setting: a clean modern Dubai home or professional mobile grooming environment, soft natural light, clean tools, calm atmosphere, realistic anatomy and coat detail. Show the bird calmly standing on a secure perch with an experienced avian professional nearby; no forceful restraint, no cutting action, no aerosol, no fragrance and no medical procedure. No embedded text, no logos, no watermarks. Landscape 16:9 with generous safe space for responsive cropping.",True
40,B04,"Bird Beak Care: Normal Growth, Warning Signs and Who Should Handle It",Bird Grooming,B04-V1,in_article_visual,Immediately after the first major H2 section,bird-beak-care-visual-1.webp,Normal-wear vs warning-sign illustration for pet bird grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Bird Beak Care: Normal Growth, Warning Signs and Who Should Handle It”: Normal-wear vs warning-sign illustration.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict forceful restraint, cutting action, respiratory hazards or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
40,B04,"Bird Beak Care: Normal Growth, Warning Signs and Who Should Handle It",Bird Grooming,B04-V2,in_article_visual,"Near the middle decision, schedule or comparison section",bird-beak-care-visual-2.webp,Groomer/avian-vet decision tree for pet bird grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Bird Beak Care: Normal Growth, Warning Signs and Who Should Handle It”: Groomer/avian-vet decision tree.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict forceful restraint, cutting action, respiratory hazards or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
41,B07,"Parrot Grooming Guide: Nail, Beak and Feather Care",Bird Grooming,B07-FEATURED,featured_image,CMS featured image; do not insert again inside article body,parrot-grooming-guide-featured.webp,Pet bird during a calm professional mobile grooming assessment in Dubai.,16:9,"Create a premium, photorealistic editorial featured image for the article “Parrot Grooming Guide: Nail, Beak and Feather Care”. Subject: pet bird. Setting: a clean modern Dubai home or professional mobile grooming environment, soft natural light, clean tools, calm atmosphere, realistic anatomy and coat detail. Show the bird calmly standing on a secure perch with an experienced avian professional nearby; no forceful restraint, no cutting action, no aerosol, no fragrance and no medical procedure. No embedded text, no logos, no watermarks. Landscape 16:9 with generous safe space for responsive cropping.",True
41,B07,"Parrot Grooming Guide: Nail, Beak and Feather Care",Bird Grooming,B07-V1,in_article_visual,Immediately after the first major H2 section,parrot-grooming-guide-visual-1.webp,Parrot grooming entity map for pet bird grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Parrot Grooming Guide: Nail, Beak and Feather Care”: Parrot grooming entity map.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict forceful restraint, cutting action, respiratory hazards or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
41,B07,"Parrot Grooming Guide: Nail, Beak and Feather Care",Bird Grooming,B07-V2,in_article_visual,"Near the middle decision, schedule or comparison section",parrot-grooming-guide-visual-2.webp,Nail/beak/feather/bath overview graphic for pet bird grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Parrot Grooming Guide: Nail, Beak and Feather Care”: Nail/beak/feather/bath overview graphic.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict forceful restraint, cutting action, respiratory hazards or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
42,R04,Should Rabbits Be Bathed? Safe Cleaning and Grooming Alternatives,Rabbit Grooming,R04-FEATURED,featured_image,CMS featured image; do not insert again inside article body,should-rabbits-be-bathed-featured.webp,Rabbit during a calm professional mobile grooming assessment in Dubai.,16:9,"Create a premium, photorealistic editorial featured image for the article “Should Rabbits Be Bathed? Safe Cleaning and Grooming Alternatives”. Subject: rabbit. Setting: a clean modern Dubai home or professional mobile grooming environment, soft natural light, clean tools, calm atmosphere, realistic anatomy and coat detail. Show the rabbit calmly supported on a non-slip grooming surface; no full-water bath, no trancing, no scissors, no unsafe restraint and no medical procedure. No embedded text, no logos, no watermarks. Landscape 16:9 with generous safe space for responsive cropping.",True
42,R04,Should Rabbits Be Bathed? Safe Cleaning and Grooming Alternatives,Rabbit Grooming,R04-V1,in_article_visual,Immediately after the first major H2 section,should-rabbits-be-bathed-visual-1.webp,Routine bath vs safer alternatives graphic for rabbit grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Should Rabbits Be Bathed? Safe Cleaning and Grooming Alternatives”: Routine bath vs safer alternatives graphic.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict full-water bathing, trancing, scissors, unsafe restraint or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
42,R04,Should Rabbits Be Bathed? Safe Cleaning and Grooming Alternatives,Rabbit Grooming,R04-V2,in_article_visual,"Near the middle decision, schedule or comparison section",should-rabbits-be-bathed-visual-2.webp,Dirty-bottom veterinary decision tree for rabbit grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Should Rabbits Be Bathed? Safe Cleaning and Grooming Alternatives”: Dirty-bottom veterinary decision tree.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict full-water bathing, trancing, scissors, unsafe restraint or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
43,R06,"Matted Rabbit Fur: Causes, Risks and Professional Grooming Options",Rabbit Grooming,R06-FEATURED,featured_image,CMS featured image; do not insert again inside article body,matted-rabbit-fur-featured.webp,Rabbit during a calm professional mobile grooming assessment in Dubai.,16:9,"Create a premium, photorealistic editorial featured image for the article “Matted Rabbit Fur: Causes, Risks and Professional Grooming Options”. Subject: rabbit. Setting: a clean modern Dubai home or professional mobile grooming environment, soft natural light, clean tools, calm atmosphere, realistic anatomy and coat detail. Show the rabbit calmly supported on a non-slip grooming surface; no full-water bath, no trancing, no scissors, no unsafe restraint and no medical procedure. No embedded text, no logos, no watermarks. Landscape 16:9 with generous safe space for responsive cropping.",True
43,R06,"Matted Rabbit Fur: Causes, Risks and Professional Grooming Options",Rabbit Grooming,R06-V1,in_article_visual,Immediately after the first major H2 section,matted-rabbit-fur-visual-1.webp,Rabbit mat-severity illustration for rabbit grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Matted Rabbit Fur: Causes, Risks and Professional Grooming Options”: Rabbit mat-severity illustration.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict full-water bathing, trancing, scissors, unsafe restraint or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
43,R06,"Matted Rabbit Fur: Causes, Risks and Professional Grooming Options",Rabbit Grooming,R06-V2,in_article_visual,"Near the middle decision, schedule or comparison section",matted-rabbit-fur-visual-2.webp,High-friction area map for rabbit grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Matted Rabbit Fur: Causes, Risks and Professional Grooming Options”: High-friction area map.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict full-water bathing, trancing, scissors, unsafe restraint or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
